epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8604,1.15175,3.57007,1.34607,0.97958,0.06863,0.30167,0.19339,1.0344,3.95812,1.21098,6.25e-05,6.25e-05,6.25e-05
2,56.8755,1.12119,3.44905,1.29351,0.96999,0.07732,0.31454,0.20873,1.07051,3.87966,1.21157,0.000123888,0.000123888,0.000123888
3,81.7779,1.11248,3.23879,1.31056,0.91719,0.03529,0.35275,0.21871,1.08955,3.90222,1.23159,0.000170425,0.000170425,0.000170425
4,107.337,1.09179,3.17199,1.31593,1,0.10243,0.41701,0.27988,1.06867,3.79627,1.21709,0.000202113,0.000202113,0.000202113
5,132.163,1.04938,2.9676,1.30281,0.95348,0.14713,0.45079,0.29718,1.03878,3.6728,1.21573,0.00021895,0.00021895,0.00021895
6,158.639,0.9355,2.79373,1.18644,0.92549,0.20221,0.43369,0.30413,1.04067,3.60518,1.20336,0.000220937,0.000220937,0.000220937
7,183.625,1.06506,2.87214,1.27667,0.99216,0.22184,0.51677,0.36541,1.00106,3.44922,1.14544,0.000208075,0.000208075,0.000208075
8,209.047,0.94092,2.72468,1.14006,0.98,0.33983,0.56834,0.4148,0.9859,3.26463,1.1466,0.000180363,0.000180363,0.000180363
9,234.722,1.06285,3.01356,1.23106,0.89396,0.4776,0.58184,0.44051,0.96198,2.96497,1.11525,0.0001378,0.0001378,0.0001378
10,260.544,0.99195,2.72717,1.19131,0.94043,0.49918,0.60051,0.46247,0.94924,2.79678,1.10714,8.03875e-05,8.03875e-05,8.03875e-05
