epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.357,1.1387,2.50879,1.2694,0.95616,0.5115,0.60838,0.45802,0.94768,2.45774,1.11355,6.25e-05,6.25e-05,6.25e-05
2,57.8116,1.17174,2.61154,1.28968,0.85575,0.5172,0.56771,0.35324,1.22285,2.92871,1.22703,0.000128425,0.000128425,0.000128425
3,83.8501,1.15432,2.33258,1.25135,0.88576,0.35235,0.51575,0.35163,1.06509,3.19206,1.17972,0.00018445,0.00018445,0.00018445
4,109.499,1.22381,2.39956,1.27605,0.93182,0.38092,0.5726,0.37238,1.11797,3.12501,1.20496,0.000230575,0.000230575,0.000230575
5,134.426,1.09973,2.12088,1.22655,0.86576,0.41888,0.57109,0.37457,1.17889,2.9702,1.24849,0.0002668,0.0002668,0.0002668
6,159.146,1.06455,2.64164,1.19485,0.92615,0.38479,0.59515,0.42887,0.97597,3.05313,1.13809,0.000293125,0.000293125,0.000293125
7,184.308,1.08078,2.68429,1.2562,0.77548,0.48499,0.59106,0.42349,1.02225,2.72074,1.17613,0.00030955,0.00030955,0.00030955
8,209.023,1.03564,2.51337,1.29429,0.70217,0.49648,0.60355,0.44493,1.01763,2.59833,1.17124,0.000316075,0.000316075,0.000316075
9,234.048,0.98119,2.45108,1.18222,0.72483,0.57376,0.68004,0.49561,1.05099,2.22649,1.16382,0.0003127,0.0003127,0.0003127
10,259.256,1.0172,2.28513,1.22626,0.78039,0.65745,0.71305,0.53417,0.98062,2.10844,1.11987,0.000299425,0.000299425,0.000299425
11,283.804,0.96226,2.29679,1.17649,0.84686,0.67223,0.73663,0.56936,0.8952,2.09555,1.0742,0.00027625,0.00027625,0.00027625
12,308.77,0.95677,2.26401,1.19135,0.85231,0.64724,0.74016,0.56034,0.89127,2.01868,1.06593,0.000243175,0.000243175,0.000243175
13,333.578,0.90444,2.1721,1.11151,0.90568,0.65053,0.75573,0.57728,0.86019,1.81743,1.05176,0.0002002,0.0002002,0.0002002
14,358.397,0.83061,2.01908,1.13958,0.95027,0.68532,0.77011,0.59372,0.803,1.70389,1.03047,0.000147325,0.000147325,0.000147325
15,383.81,0.85084,1.99933,1.05496,0.94203,0.69026,0.76536,0.59858,0.7903,1.67222,1.02668,8.455e-05,8.455e-05,8.455e-05
