epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1301,1.31116,3.25812,1.41489,0.97122,0.09384,0.29221,0.20011,1.05279,3.90709,1.2273,6.25e-05,6.25e-05,6.25e-05
2,55.5588,1.38978,3.26118,1.43067,0.7821,0.11027,0.23451,0.14317,1.12723,3.89472,1.19838,0.000128425,0.000128425,0.000128425
3,80.4158,1.27983,2.8639,1.35826,0.85762,0.04062,0.20592,0.13471,1.06838,3.9094,1.16408,0.00018445,0.00018445,0.00018445
4,105.205,1.30487,2.87674,1.35796,0.0034,0.58484,0.2943,0.16886,1.16769,3.94173,1.17444,0.000230575,0.000230575,0.000230575
5,130.423,1.19391,2.62821,1.29146,0.00293,0.58484,0.35168,0.22377,1.17909,3.91554,1.21057,0.0002668,0.0002668,0.0002668
6,155.039,1.14046,3.24564,1.29241,0.00277,0.54411,0.29058,0.19689,1.11805,3.9475,1.19801,0.000293125,0.000293125,0.000293125
7,179.936,1.16267,3.23235,1.32978,1,0.02788,0.32093,0.2292,1.06945,3.86346,1.21233,0.00030955,0.00030955,0.00030955
8,204.362,1.04733,2.93252,1.29899,1,0.01778,0.3962,0.27341,1.10014,3.7031,1.1901,0.000316075,0.000316075,0.000316075
9,228.529,1.1155,2.86228,1.28677,0.98321,0.15415,0.50653,0.34655,1.09943,3.49061,1.18727,0.0003127,0.0003127,0.0003127
10,253.21,1.12554,2.80066,1.25358,1,0.29599,0.53352,0.38828,1.055,3.29942,1.18163,0.000299425,0.000299425,0.000299425
11,277.844,1.03808,2.67224,1.24778,0.9824,0.43282,0.59225,0.43321,0.99671,3.01687,1.14058,0.00027625,0.00027625,0.00027625
12,303.078,1.06526,2.55016,1.22425,0.9678,0.56659,0.63473,0.46707,1.0251,2.79128,1.14703,0.000243175,0.000243175,0.000243175
13,328.252,0.98809,2.46707,1.1993,0.93767,0.55197,0.66395,0.4821,1.00832,2.61802,1.14084,0.0002002,0.0002002,0.0002002
14,352.458,0.95291,2.32033,1.21245,0.98235,0.54879,0.68267,0.50442,0.99574,2.51641,1.13289,0.000147325,0.000147325,0.000147325
15,377.44,0.91413,2.31375,1.12755,0.96343,0.55601,0.68888,0.5175,0.97724,2.42291,1.1238,8.455e-05,8.455e-05,8.455e-05
