epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5757,0.91124,1.74659,1.11457,0.94439,0.66627,0.76435,0.60726,0.80814,1.66453,1.04473,6.25e-05,6.25e-05,6.25e-05
2,55.3041,0.89944,1.74195,1.11221,0.9154,0.71436,0.77972,0.60534,0.82832,1.57626,1.05321,0.000128425,0.000128425,0.000128425
3,80.8847,0.84521,1.54953,1.10329,0.85144,0.69672,0.78901,0.61177,0.80752,1.68499,1.03667,0.00018445,0.00018445,0.00018445
4,105.597,0.85179,1.57631,1.05518,0.86399,0.73777,0.78331,0.60677,0.85532,1.82711,1.0468,0.000230575,0.000230575,0.000230575
5,130.808,0.78991,1.48697,1.04461,0.80423,0.75795,0.79062,0.61168,0.8087,1.77552,1.05122,0.0002668,0.0002668,0.0002668
6,155.609,0.80764,1.85846,1.05097,0.74377,0.77154,0.75828,0.5984,0.81789,2.07592,1.05345,0.000293125,0.000293125,0.000293125
7,180.457,0.75939,1.98191,1.05529,0.81121,0.6126,0.70092,0.53379,1.00209,2.57885,1.15089,0.00030955,0.00030955,0.00030955
8,207.875,0.90311,2.09687,1.17588,0.90079,0.62583,0.74704,0.56127,0.93844,2.11886,1.15929,0.000316075,0.000316075,0.000316075
9,233.874,0.89797,2.19136,1.14369,0.85223,0.697,0.75076,0.55068,0.87065,1.78605,1.08395,0.0003127,0.0003127,0.0003127
10,259.689,0.85033,2.06594,1.09697,0.9106,0.65328,0.75648,0.55804,0.85299,1.66762,1.07429,0.000299425,0.000299425,0.000299425
11,285.259,0.85247,1.96103,1.12986,0.97789,0.67223,0.76935,0.57326,0.8551,1.69715,1.07101,0.00027625,0.00027625,0.00027625
12,310.373,0.9147,1.95258,1.16685,0.79272,0.74418,0.77076,0.57403,0.88658,1.75979,1.08807,0.000243175,0.000243175,0.000243175
13,338.668,0.86515,1.87209,1.1112,0.81818,0.72409,0.78354,0.59454,0.82797,1.72062,1.05842,0.0002002,0.0002002,0.0002002
14,363.142,0.86005,1.85674,1.15586,0.79934,0.7817,0.78882,0.61709,0.75197,1.56426,1.01055,0.000147325,0.000147325,0.000147325
15,387.746,0.80173,1.76715,1.03079,0.79892,0.78184,0.79563,0.63624,0.72521,1.49361,0.99653,8.455e-05,8.455e-05,8.455e-05
