epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4257,0,113.634,0,0,0,0,0,0,183.911,0,6.25e-05,6.25e-05,6.25e-05
2,58.5067,0,110.715,0,0,0,0,0,0,183.187,0,0.000132962,0.000132962,0.000132962
3,84.0235,0,106.645,0,0,0,0,0,0,181.868,0,0.000198475,0.000198475,0.000198475
4,108.748,0,103.038,0,0,0,0,0,0,184.675,0,0.000259038,0.000259038,0.000259038
5,133.835,0,99.5074,0,0,0,0,0,0,194.729,0,0.00031465,0.00031465,0.00031465
6,158.95,0,94.9676,0,0,0,0,0,0,169.489,0,0.000365313,0.000365313,0.000365313
7,183.36,0,90.5971,0,0,0,0,0,0,400.361,0,0.000411025,0.000411025,0.000411025
8,207.792,0,88.001,0,0,0,0,0,0,891.742,0,0.000451787,0.000451787,0.000451787
9,233.504,0,86.0911,0,0,0,0,0,0,135.111,0,0.0004876,0.0004876,0.0004876
10,258.719,0,84.0405,0,0,0,0,0,0,125.905,0,0.000518462,0.000518462,0.000518462
11,283.654,0,82.701,0,0,0,0,0,0,194.906,0,0.000544375,0.000544375,0.000544375
12,309.468,0,81.2378,0,0,0,0,0,0,846.354,0,0.000565338,0.000565338,0.000565338
13,334.079,0,79.8741,0,0,0,0,0,0,1646.68,0,0.00058135,0.00058135,0.00058135
14,360.081,0,78.6145,0,0,0,0,0,0,123.82,0,0.000592413,0.000592413,0.000592413
15,384.792,0,77.6098,0,0,0,0,0,0,391.877,0,0.000598525,0.000598525,0.000598525
16,410.166,0,76.8827,0,0,0,0,0,0,221.183,0,0.000599687,0.000599687,0.000599687
17,438.498,0,76.0052,0,0,0,0,0,0,225.546,0,0.00059,0.00059,0.00059
18,464.594,0,75.0112,0,0,0,0,0,0,177.015,0,0.00054875,0.00054875,0.00054875
19,491.533,0,74.2835,0,0,0,0,0,0,277.536,0,0.0005075,0.0005075,0.0005075
