epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8325,2.15228,5.11811,2.31151,0.00019,0.04791,0.00011,3e-05,2.10069,5.52801,2.36483,6.25e-05,6.25e-05,6.25e-05
2,55.8472,1.98204,5.00405,2.11908,0.0005,0.11992,0.00456,0.00108,1.76301,5.24429,2.09803,0.000130694,0.000130694,0.000130694
3,80.9563,1.59738,4.39676,1.6613,0.00174,0.36465,0.03082,0.01414,1.41748,4.88825,1.61432,0.000191463,0.000191463,0.000191463
4,106.225,1.48481,4.08901,1.57585,0.00227,0.43542,0.06604,0.03878,1.33763,4.69292,1.44346,0.000244806,0.000244806,0.000244806
5,131.311,1.37457,3.58607,1.50716,0.00268,0.44421,0.18584,0.11142,1.21584,4.35519,1.35511,0.000290725,0.000290725,0.000290725
6,157.999,1.47986,3.50236,1.51361,0.00309,0.50058,0.19573,0.13374,1.12464,4.14298,1.25174,0.000329219,0.000329219,0.000329219
7,183.277,1.36201,3.42317,1.4105,0.00332,0.48971,0.16962,0.11687,1.26722,4.16627,1.3026,0.000360287,0.000360287,0.000360287
8,209.41,1.38459,3.34607,1.4122,0.95103,0.08537,0.18508,0.11824,1.30048,4.01189,1.32848,0.000383931,0.000383931,0.000383931
9,235.189,1.27913,2.94967,1.34728,0.90903,0.0517,0.21553,0.13611,1.27437,3.9776,1.33539,0.00040015,0.00040015,0.00040015
10,260.478,1.24147,2.71746,1.30991,1,0.02289,0.24224,0.1516,1.13028,3.91505,1.25865,0.000408944,0.000408944,0.000408944
11,286.553,1.32357,3.84008,1.44068,1,0.02951,0.23418,0.15061,1.12878,3.90009,1.235,0.000410313,0.000410313,0.000410313
12,312.351,1.21762,3.45987,1.38355,0.78886,0.07028,0.23408,0.15816,1.11198,3.80465,1.25412,0.000404256,0.000404256,0.000404256
13,338.277,1.1527,3.30702,1.3462,0.77248,0.12474,0.26386,0.18312,1.06864,3.68192,1.23809,0.000390775,0.000390775,0.000390775
14,363.561,1.09923,3.09783,1.28247,0.88178,0.23929,0.36162,0.23378,1.07859,3.53766,1.21053,0.000369869,0.000369869,0.000369869
15,389.011,1.05595,2.88057,1.26487,0.83947,0.29449,0.39279,0.26817,1.08525,3.36438,1.21474,0.000341538,0.000341538,0.000341538
16,413.905,1.05935,2.9367,1.21093,0.74044,0.34997,0.40025,0.28337,1.04411,3.11546,1.20421,0.000305781,0.000305781,0.000305781
17,438.537,1.07115,2.80459,1.24073,0.7421,0.39793,0.40162,0.28968,0.99279,3.07667,1.18722,0.00026,0.00026,0.00026
18,464.317,0.97945,2.73117,1.18187,0.8328,0.39982,0.47557,0.35264,0.94214,2.85472,1.14817,0.000198125,0.000198125,0.000198125
19,489.659,0.95056,2.66589,1.16736,0.8734,0.43696,0.51705,0.39246,0.91863,2.72791,1.1318,0.00013625,0.00013625,0.00013625
20,515.879,0.94018,2.6144,1.13887,0.87883,0.4895,0.54828,0.42423,0.88995,2.53158,1.10851,7.4375e-05,7.4375e-05,7.4375e-05
