epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2544,0.80538,1.52062,1.04659,0.90748,0.7747,0.80078,0.63313,0.76564,1.50562,1.02349,6.25e-05,6.25e-05,6.25e-05
2,55.3741,0.7809,1.49578,1.04428,0.8856,0.72775,0.79992,0.57994,0.9127,1.57982,1.09542,0.000128425,0.000128425,0.000128425
3,80.1865,0.80547,1.41769,1.07334,0.87945,0.77569,0.79979,0.62353,0.82073,1.74483,1.04227,0.00018445,0.00018445,0.00018445
4,105.705,0.81717,1.39951,1.03306,0.83065,0.73381,0.76777,0.60428,0.82229,1.92913,1.0401,0.000230575,0.000230575,0.000230575
5,130.758,0.79244,1.34697,1.03816,0.88974,0.67492,0.76025,0.55956,0.89433,1.78169,1.06896,0.0002668,0.0002668,0.0002668
6,155.302,0.82634,1.74935,1.0191,0.70675,0.73929,0.74297,0.55737,0.82714,1.65824,1.04292,0.000293125,0.000293125,0.000293125
7,180.306,0.6771,1.65852,1.00487,0.70655,0.6295,0.71305,0.54893,0.89159,1.93696,1.05996,0.00030955,0.00030955,0.00030955
8,204.854,0.82565,1.91959,1.06577,0.82476,0.66843,0.74784,0.59678,0.83543,1.87706,1.02065,0.000316075,0.000316075,0.000316075
9,230.007,0.79448,1.89472,1.04355,0.84694,0.68892,0.76433,0.58179,0.82616,1.62264,1.0159,0.0003127,0.0003127,0.0003127
10,254.785,0.76407,1.78298,1.0155,0.82343,0.70984,0.76748,0.56837,0.83298,1.65743,1.02603,0.000299425,0.000299425,0.000299425
11,279.825,0.80246,1.75655,1.06442,0.88775,0.74259,0.79107,0.58968,0.82504,1.65637,1.01465,0.00027625,0.00027625,0.00027625
12,304.888,0.86707,1.81899,1.06008,0.9388,0.76008,0.81839,0.62658,0.7985,1.57344,1.01657,0.000243175,0.000243175,0.000243175
13,329.411,0.78948,1.73976,1.04597,0.94317,0.79719,0.84158,0.64994,0.75047,1.44665,0.99883,0.0002002,0.0002002,0.0002002
14,354.458,0.78557,1.65525,1.03635,0.92216,0.82771,0.84788,0.65704,0.73284,1.39726,0.98337,0.000147325,0.000147325,0.000147325
15,379.347,0.72295,1.629,0.95555,0.96841,0.80709,0.84917,0.65838,0.72867,1.38561,0.98332,8.455e-05,8.455e-05,8.455e-05
