epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0413,2.15228,5.11811,2.31151,0.00019,0.04791,0.00011,3e-05,2.10069,5.52801,2.36483,6.25e-05,6.25e-05,6.25e-05
2,56.6412,1.98134,5.00366,2.11791,0.00054,0.13182,0.00592,0.00123,1.76895,5.24747,2.0982,0.000132962,0.000132962,0.000132962
3,82.0487,1.59578,4.38806,1.65185,0.00191,0.38324,0.03787,0.02199,1.44128,4.84844,1.59105,0.000198475,0.000198475,0.000198475
4,107.086,1.45264,4.0564,1.54406,0.00256,0.47673,0.12192,0.07223,1.35675,4.66696,1.44078,0.000259038,0.000259038,0.000259038
5,133.585,1.40685,3.57606,1.49686,0.0029,0.48971,0.18648,0.10967,1.33197,4.32489,1.38308,0.00031465,0.00031465,0.00031465
6,158.994,1.47198,3.46078,1.48885,0.30182,0.37485,0.21534,0.13938,1.25387,4.08008,1.29377,0.000365313,0.000365313,0.000365313
7,184.98,1.38769,3.42819,1.37205,0.00332,0.51656,0.19587,0.12778,1.33176,4.14182,1.2852,0.000411025,0.000411025,0.000411025
8,210.703,1.32728,3.34982,1.38398,0.8849,0.09756,0.15461,0.08688,1.60237,4.19696,1.47097,0.000451787,0.000451787,0.000451787
9,235.82,1.31248,2.96849,1.30575,0.94547,0.06566,0.1557,0.08853,1.54289,4.09396,1.40171,0.0004876,0.0004876,0.0004876
10,262.375,1.25924,2.76979,1.28921,0.7487,0.23664,0.23652,0.15832,1.24135,3.83019,1.24572,0.000518462,0.000518462,0.000518462
11,288.877,1.19984,2.67621,1.28408,0.97711,0.06054,0.26893,0.18284,1.19856,3.87769,1.27143,0.000544375,0.000544375,0.000544375
12,316.256,1.27076,2.82699,1.32381,0.0024,0.50379,0.21287,0.14325,1.26226,4.19652,1.37922,0.000565338,0.000565338,0.000565338
13,342.07,1.19777,2.36619,1.29287,0.9187,0.06157,0.24949,0.15679,1.26374,4.13491,1.41664,0.00058135,0.00058135,0.00058135
14,367.809,1.21002,2.51352,1.29269,0.00155,0.33135,0.14132,0.06442,1.3207,4.45213,1.55677,0.000592413,0.000592413,0.000592413
15,392.954,1.17422,2.43785,1.25356,0.90633,0.02711,0.1242,0.05095,1.32936,4.49842,1.60403,0.000598525,0.000598525,0.000598525
16,417.969,1.2122,2.4069,1.24882,0.90583,0.08107,0.29157,0.15732,1.21579,4.04936,1.42169,0.000599687,0.000599687,0.000599687
17,444.14,1.14269,2.22195,1.19616,0.80586,0.14725,0.37828,0.23905,1.19019,3.73733,1.32768,0.00059,0.00059,0.00059
18,469.493,1.10799,2.09324,1.18787,0.98217,0.17088,0.41275,0.28881,1.08777,3.69878,1.25861,0.00054875,0.00054875,0.00054875
19,495.48,1.14056,2.09736,1.21009,0.9614,0.19095,0.41524,0.28425,1.09067,3.64673,1.25906,0.0005075,0.0005075,0.0005075
20,520.856,1.04095,2.20801,1.14155,0.8909,0.35668,0.49683,0.35362,1.07679,3.11898,1.15823,0.00046625,0.00046625,0.00046625
21,546.606,1.02786,2.63298,1.13651,0.89882,0.40138,0.50497,0.37642,1.0521,2.83463,1.12151,0.000425,0.000425,0.000425
22,571.451,1.01211,2.52711,1.13375,0.80676,0.4059,0.51583,0.39644,0.99267,2.53946,1.12335,0.00038375,0.00038375,0.00038375
