epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7327,2.48232,6.33208,2.55355,0.0001,0.03571,6e-05,1e-05,2.30357,5.56909,2.49292,6.25e-05,6.25e-05,6.25e-05
2,56.8961,2.00415,5.66642,2.17273,0.00069,0.16128,0.00123,0.00028,1.76945,5.28098,2.03421,0.000123888,0.000123888,0.000123888
3,81.7458,1.57865,5.16008,1.83498,0.00156,0.32342,0.0091,0.00386,1.39007,4.91723,1.63487,0.000170425,0.000170425,0.000170425
4,107.176,1.51202,4.61472,1.68764,0.00228,0.4881,0.03511,0.01251,1.35374,4.6618,1.44794,0.000202113,0.000202113,0.000202113
5,132.657,1.45079,4.33008,1.65505,0.00242,0.4942,0.06449,0.02924,1.28786,4.55664,1.39864,0.00021895,0.00021895,0.00021895
6,158.281,1.30228,4.15124,1.44568,0.00253,0.49075,0.11467,0.05311,1.16341,4.38152,1.26682,0.000220937,0.000220937,0.000220937
7,184.603,1.35505,3.92591,1.48664,0.00251,0.49075,0.11529,0.06679,1.11241,4.29152,1.20613,0.000208075,0.000208075,0.000208075
8,209.402,1.23098,3.77244,1.42474,0.00246,0.46802,0.19242,0.10415,1.12146,4.2235,1.28045,0.000180363,0.000180363,0.000180363
9,234.724,1.27377,3.81466,1.44801,0.00247,0.49075,0.24144,0.15101,1.08916,4.14618,1.26952,0.0001378,0.0001378,0.0001378
10,259.763,1.13165,3.57177,1.36625,0.00253,0.50162,0.26373,0.16762,1.06582,4.08395,1.24742,8.03875e-05,8.03875e-05,8.03875e-05
